[step   3250/50000] loss=0.2140  lr=4.96e-05  grad=1.85  71.9 sa/s
[step   3300/50000] loss=0.2175  lr=4.96e-05  grad=2.31  71.9 sa/s
[step   3350/50000] loss=0.2328  lr=4.96e-05  grad=1.65  72.0 sa/s
[step   3400/50000] loss=0.2113  lr=4.96e-05  grad=1.98  72.0 sa/s
[step   3450/50000] loss=0.2238  lr=4.96e-05  grad=2.07  72.0 sa/s
[step   3500/50000] loss=0.2202  lr=4.95e-05  grad=1.46  72.0 sa/s
[step   3550/50000] loss=0.2171  lr=4.95e-05  grad=1.70  72.0 sa/s
[step   3600/50000] loss=0.2194  lr=4.95e-05  grad=1.68  72.0 sa/s
[step   3650/50000] loss=0.2117  lr=4.95e-05  grad=1.82  72.0 sa/s
[step   3700/50000] loss=0.2046  lr=4.95e-05  grad=1.70  72.0 sa/s
[step   3750/50000] loss=0.2102  lr=4.95e-05  grad=1.63  72.0 sa/s
[step   3800/50000] loss=0.2114  lr=4.95e-05  grad=1.98  72.0 sa/s
[step   3850/50000] loss=0.2075  lr=4.94e-05  grad=2.46  72.0 sa/s
[step   3900/50000] loss=0.2064  lr=4.94e-05  grad=1.69  71.9 sa/s
[step   3950/50000] loss=0.2100  lr=4.94e-05  grad=1.83  71.9 sa/s
[step   4000/50000] loss=0.2044  lr=4.94e-05  grad=2.35  72.0 sa/s
[eval    4000] val_loss=0.2679  (5.2s)
[ckpt] saved checkpoints/joint-run-b/last.pt
[step   4050/50000] loss=0.2126  lr=4.94e-05  grad=1.77  54.4 sa/s
[step   4100/50000] loss=0.2113  lr=4.94e-05  grad=1.65  71.9 sa/s
[step   4150/50000] loss=0.2055  lr=4.93e-05  grad=1.26  71.9 sa/s
[step   4200/50000] loss=0.2068  lr=4.93e-05  grad=1.82  71.9 sa/s
[step   4250/50000] loss=0.2021  lr=4.93e-05  grad=1.74  71.9 sa/s
[step   4300/50000] loss=0.2020  lr=4.93e-05  grad=1.73  71.9 sa/s
[step   4350/50000] loss=0.1952  lr=4.93e-05  grad=1.57  71.8 sa/s
[step   4400/50000] loss=0.1951  lr=4.92e-05  grad=2.18  71.9 sa/s
[step   4450/50000] loss=0.1929  lr=4.92e-05  grad=2.42  71.9 sa/s
